LEADENGAGEMENT_ID,LEADENGAGEMENT_DATE,LEADENGAGEMENT_SUBJECT,LEADENGAGEMENT_LEAD,LEADENGAGEMENT_TYPE,LEADENGAGEMENT_STATUS,LEADENGAGEMENT_NOTE,LEADENGAGEMENT_TIMESTAMP
1,2024-11-29,Moevement,1,3,4,Main delivered made,2024-11-30 01:53:00.0
2,2024-12-06,Box Deployment,1,4,3,Customer expects.,2024-12-07 03:34:00.0
3,2024-11-27,Jazz recorders,2,3,5,Expected further atachment,2024-12-05 14:32:00.0
4,2024-11-29,Renaming,2,3,5,Customer just arrived in the country.,2024-12-04 02:02:00.0
5,2024-12-06,Local legend,2,4,6,Expected from the customer to be angry,2024-11-06 02:06:00.0
6,2024-11-29,Moving subjects,3,4,1,Customer has a lot of reach,2024-12-06 02:21:00.0
7,2024-12-01,New Proposal,4,2,2,Meeting scheduled for proposal discussion,2024-12-02 09:15:00.0
8,2024-12-03,Customer Feedback,5,1,4,Received detailed customer feedback,2024-12-03 10:20:00.0
9,2024-12-02,Strategy Update,6,5,3,Finalizing updates for strategy presentation,2024-12-02 15:45:00.0
10,2024-12-04,Follow-Up Call,7,3,5,Customer requested additional clarification,2024-12-04 11:10:00.0
11,2024-12-05,Contract Signing,8,4,6,Customer signed the contract successfully,2024-12-05 16:30:00.0
12,2024-12-07,Delivery Confirmation,9,2,1,Confirmed delivery of products to the customer,2024-12-07 08:00:00.0
